block_id,Ward_Code,ward,area_m2,area_ha,target_m2,deviation_pct,status,building_count
W05-B001,W05,Ward 5,40634.81960206128,4.063481960206128,10000,306.3481960206128,above_preferred,1422
W05-B002,W05,Ward 5,40497.05003366759,4.049705003366759,10000,304.97050033667585,above_preferred,0
W05-B003,W05,Ward 5,40227.962182303374,4.022796218230337,10000,302.2796218230337,above_preferred,19
W05-B004,W05,Ward 5,40177.915162335965,4.017791516233596,10000,301.7791516233596,above_preferred,0
W05-B005,W05,Ward 5,40129.929663439216,4.012992966343922,10000,301.2992966343922,above_preferred,0
W05-B006,W05,Ward 5,40014.166866827174,4.001416686682718,10000,300.1416686682718,above_preferred,0
W05-B007,W05,Ward 5,40001.112307480784,4.000111230748078,10000,300.0111230748078,above_preferred,0
W05-B008,W05,Ward 5,39427.306058840186,3.9427306058840186,10000,294.27306058840185,above_preferred,1
W05-B009,W05,Ward 5,39426.63576077799,3.942663576077799,10000,294.26635760777987,above_preferred,0
W05-B010,W05,Ward 5,39418.388052695154,3.9418388052695152,10000,294.1838805269515,above_preferred,6
W05-B011,W05,Ward 5,39398.49939644323,3.939849939644323,10000,293.9849939644323,above_preferred,0
W05-B012,W05,Ward 5,39379.82951383081,3.937982951383081,10000,293.7982951383081,above_preferred,4
W05-B013,W05,Ward 5,39379.82951382023,3.937982951382023,10000,293.79829513820226,above_preferred,1
W05-B014,W05,Ward 5,39379.829513805584,3.937982951380558,10000,293.79829513805583,above_preferred,0
W05-B015,W05,Ward 5,39194.427207770925,3.9194427207770923,10000,291.94427207770923,above_preferred,4
W05-B016,W05,Ward 5,39194.427207770925,3.9194427207770923,10000,291.94427207770923,above_preferred,1
W05-B017,W05,Ward 5,39194.427207770925,3.9194427207770923,10000,291.94427207770923,above_preferred,0
W05-B018,W05,Ward 5,39194.427207770925,3.9194427207770923,10000,291.94427207770923,above_preferred,0
W05-B019,W05,Ward 5,39061.448131949,3.9061448131949,10000,290.61448131949004,above_preferred,1
W05-B020,W05,Ward 5,38898.75355330974,3.889875355330974,10000,288.9875355330974,above_preferred,0
W05-B021,W05,Ward 5,38802.48293570894,3.880248293570894,10000,288.0248293570894,above_preferred,0
W05-B022,W05,Ward 5,38802.48293567596,3.880248293567596,10000,288.0248293567596,above_preferred,0
W05-B023,W05,Ward 5,38761.65800771802,3.876165800771802,10000,287.61658007718023,above_preferred,0
W05-B024,W05,Ward 5,38670.021695109885,3.8670021695109886,10000,286.70021695109887,above_preferred,1
W05-B025,W05,Ward 5,38613.907782205475,3.8613907782205477,10000,286.1390778220548,above_preferred,14
W05-B026,W05,Ward 5,38526.72419099899,3.852672419099899,10000,285.2672419099899,above_preferred,0
W05-B027,W05,Ward 5,38482.65571654982,3.8482655716549825,10000,284.82655716549823,above_preferred,15
W05-B028,W05,Ward 5,38482.65571654982,3.8482655716549825,10000,284.82655716549823,above_preferred,0
W05-B029,W05,Ward 5,38482.65571654982,3.8482655716549825,10000,284.82655716549823,above_preferred,0
W05-B030,W05,Ward 5,38482.65571654982,3.8482655716549825,10000,284.82655716549823,above_preferred,1
W05-B031,W05,Ward 5,38482.65571654982,3.8482655716549825,10000,284.82655716549823,above_preferred,4
W05-B032,W05,Ward 5,38482.65571654982,3.8482655716549825,10000,284.82655716549823,above_preferred,38
W05-B033,W05,Ward 5,38482.65571653802,3.848265571653802,10000,284.8265571653802,above_preferred,12
W05-B034,W05,Ward 5,38482.65571653802,3.848265571653802,10000,284.8265571653802,above_preferred,0
W05-B035,W05,Ward 5,38442.07635982127,3.8442076359821273,10000,284.4207635982127,above_preferred,3
W05-B036,W05,Ward 5,38346.10660639301,3.834610660639301,10000,283.4610660639301,above_preferred,24
W05-B037,W05,Ward 5,38270.9162146367,3.82709162146367,10000,282.709162146367,above_preferred,0
W05-B038,W05,Ward 5,38045.758357025436,3.8045758357025434,10000,280.4575835702543,above_preferred,0
W05-B039,W05,Ward 5,37960.84795240595,3.796084795240595,10000,279.60847952405953,above_preferred,0
W05-B040,W05,Ward 5,37908.50438262254,3.790850438262254,10000,279.0850438262254,above_preferred,14
W05-B041,W05,Ward 5,37908.5043826135,3.79085043826135,10000,279.085043826135,above_preferred,9
W05-B042,W05,Ward 5,37908.5043826135,3.79085043826135,10000,279.085043826135,above_preferred,5
W05-B043,W05,Ward 5,37870.49548645386,3.787049548645386,10000,278.7049548645386,above_preferred,0
