full_id,osm_id,osm_type,building,reg_id,ownership,addr:subdistrict,addr:district,addr:county,military,official_name,tower:type,healthcare,generator:source,trade,nurses_num,electricity,doctors_num,operator_name,emergency,dispensing,bed_count,product,industrial,operational_status,drinking_water,shop,layer,power,public_transport,tourism,denomination,pump,man_made,waste,construction,service_times,religion,capacity,toilets:handwashing,toilets:disposal,toilets:access,fee,phone,operator,opening_hours,brand:wikidata,brand,addr:state,description,amenity,office,name,addr:street,type,building:material,building:levels,addr:city,Building_Code,Ward_Code,Block_Code,Building_Area_m2,Building_Source,AI_Confidence,Boundary_Flag
w310241814,310241814,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B122-BLD0003,W07,W07-B122,163.6672696743184,OSM existing,,False
w310241816,310241816,way,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wood,1,Ganta,W07-B065-BLD0006,W07,W07-B065,110.11742426754904,OSM existing,,False
w310241818,310241818,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B065-BLD0007,W07,W07-B065,75.50649751892624,OSM existing,,False
w310241819,310241819,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B061-BLD0001,W07,W07-B061,94.83023491167637,OSM existing,,False
w310241821,310241821,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B061-BLD0002,W07,W07-B061,91.30851661436671,OSM existing,,True
w310241824,310241824,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B065-BLD0008,W07,W07-B065,97.92472902878069,OSM existing,,True
w310241825,310241825,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B122-BLD0004,W07,W07-B122,157.90292030667885,OSM existing,,True
w310241826,310241826,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B061-BLD0003,W07,W07-B061,156.36983404543253,OSM existing,,False
w310241827,310241827,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,2,Ganta,W07-B061-BLD0004,W07,W07-B061,213.45640891202825,OSM existing,,False
w310241828,310241828,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B061-BLD0005,W07,W07-B061,47.358608830885466,OSM existing,,False
w310241829,310241829,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B065-BLD0009,W07,W07-B065,239.28230764056016,OSM existing,,True
w310241834,310241834,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B120-BLD0002,W07,W07-B120,80.44763217950425,OSM existing,,False
w310241835,310241835,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B120-BLD0003,W07,W07-B120,95.36708279191862,OSM existing,,False
w310241836,310241836,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B120-BLD0004,W07,W07-B120,135.97171313347542,OSM existing,,False
w310241837,310241837,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B120-BLD0005,W07,W07-B120,147.1250718848948,OSM existing,,False
w310241838,310241838,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B081-BLD0001,W07,W07-B081,129.98461753437226,OSM existing,,True
w310241840,310241840,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B082-BLD0001,W07,W07-B082,84.32493895079442,OSM existing,,False
w310241841,310241841,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B121-BLD0001,W07,W07-B121,90.32970026613827,OSM existing,,False
w310241842,310241842,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B121-BLD0002,W07,W07-B121,83.02163425925613,OSM existing,,False
w310241843,310241843,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B121-BLD0003,W07,W07-B121,69.55764274523426,OSM existing,,False
w310241844,310241844,way,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,W07-B121-BLD0004,W07,W07-B121,116.77317514660655,OSM existing,,False
w310241845,310241845,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B121-BLD0005,W07,W07-B121,138.78877291911428,OSM existing,,False
w310241846,310241846,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement_block,1,Ganta,W07-B121-BLD0006,W07,W07-B121,55.72891087215076,OSM existing,,False
w310241847,310241847,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B061-BLD0006,W07,W07-B061,145.33058456524043,OSM existing,,False
w310241848,310241848,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B061-BLD0007,W07,W07-B061,127.48497714099626,OSM existing,,False
w310241849,310241849,way,warehouse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B061-BLD0008,W07,W07-B061,21.780934843982813,OSM existing,,False
w310241850,310241850,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,concrete,1,Ganta,W07-B061-BLD0009,W07,W07-B061,167.64820239615256,OSM existing,,False
w310241851,310241851,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B061-BLD0010,W07,W07-B061,212.76426381499004,OSM existing,,True
w310241852,310241852,way,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,brick,1,Ganta,W07-B122-BLD0005,W07,W07-B122,170.47555564157338,OSM existing,,False
w310241853,310241853,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement_block,1,Ganta,W07-B061-BLD0011,W07,W07-B061,98.29404134699696,OSM existing,,False
w310241854,310241854,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement_block,1,Ganta,W07-B061-BLD0012,W07,W07-B061,242.3431416836475,OSM existing,,False
w310241855,310241855,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement_block,1,Ganta,W07-B061-BLD0013,W07,W07-B061,90.77500798802656,OSM existing,,False
w310241856,310241856,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement_block,1,Ganta,W07-B061-BLD0014,W07,W07-B061,107.42568324901566,OSM existing,,False
w310241858,310241858,way,residential,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cement_block,1,Ganta,W07-B061-BLD0015,W07,W07-B061,84.0571914084655,OSM existing,,False
